sourceSystem,sourceCode,conceptId

http://snomed.info/sct,44054006,201826
http://snomed.info/sct,38341003,319835
http://snomed.info/sct,195967001,255848
http://snomed.info/sct,233604007,433736
http://snomed.info/sct,6142004,441840

http://loinc.org,8867-4,3027018
http://loinc.org,8480-6,3004249
http://loinc.org,8462-4,3012888
http://loinc.org,8310-5,3020891
http://loinc.org,29463-7,3036277
http://loinc.org,8302-2,3038553

http://terminology.hl7.org/CodeSystem/v3-ActCode,IMP,9201
http://terminology.hl7.org/CodeSystem/v3-ActCode,AMB,9202
http://terminology.hl7.org/CodeSystem/v3-ActCode,EMER,9203
http://terminology.hl7.org/CodeSystem/v3-ActCode,VR,9204

http://www.nlm.nih.gov/research/umls/rxnorm,860975,860975
http://www.nlm.nih.gov/research/umls/rxnorm,617314,617314
http://www.nlm.nih.gov/research/umls/rxnorm,1049630,1049630
http://www.nlm.nih.gov/research/umls/rxnorm,197361,197361
http://www.nlm.nih.gov/research/umls/rxnorm,83367,83367
