,USPS,ST,NAME,ZCTA5,LAT,LON
0,Burgenland,B,Eisenstadt,7000,47.8457,16.5233
1,Burgenland,B,Sankt Georgen am Leithagebirge,7000,47.85,16.55
2,Burgenland,B,Kleinhöflein im Burgenland,7000,47.8415,16.5041
3,Burgenland,B,Rust,7071,47.8012,16.6716
4,Burgenland,B,Stotzing,2443,47.9,16.55
5,Burgenland,B,Leithaprodersdorf,2443,47.9335,16.4791
6,Burgenland,B,Loretto,2443,47.9156,16.5179
7,Burgenland,B,Wimpassing an der Leitha,2485,47.9167,16.4333
8,Burgenland,B,Neufeld an der Leitha,2491,47.8656,16.3786
9,Burgenland,B,Hornstein / Vorištan,2491,47.8805,16.4445
10,Burgenland,B,Steinbrunn / Štikapron,2491,47.8333,16.4167
11,Burgenland,B,Siegendorf / Cindrof,7011,47.781,16.5423
12,Burgenland,B,Zagersdorf / Cogrštof,7012,47.7647,16.5138
13,Burgenland,B,Klingenbach / Klimpuh,7013,47.7728,16.5281
14,Burgenland,B,Zillingtal / Celindof,7033,47.7997,16.3994
15,Burgenland,B,Zillingtal / Celindof,7034,47.7997,16.3994
16,Burgenland,B,Steinbrunn / Štikapron,7035,47.8333,16.4167
17,Burgenland,B,Zillingtal / Celindof,7035,47.7997,16.3994
18,Burgenland,B,Wulkaprodersdorf / Vulkaprodrštof,7041,47.7975,16.5045
19,Burgenland,B,Großhöflein,7051,47.8359,16.4804
20,Burgenland,B,Müllendorf,7052,47.8394,16.4626
21,Burgenland,B,Hornstein / Vorištan,7053,47.8805,16.4445
22,Burgenland,B,Trausdorf an der Wulka / Trajštof,7061,47.8219,16.6317
23,Burgenland,B,Sankt Margarethen im Burgenland,7062,47.8034,16.6088
24,Burgenland,B,Oggau am Neusiedler See,7063,47.8333,16.6667
25,Burgenland,B,Oslip / Uzlop,7064,47.8291,16.6196
26,Burgenland,B,Mörbisch am See,7072,47.75,16.6667
27,Burgenland,B,Schützen am Gebirge,7081,47.8523,16.6233
28,Burgenland,B,Donnerskirchen,7082,47.8942,16.6463
29,Burgenland,B,Purbach am Neusiedler See,7083,47.9129,16.6956
30,Burgenland,B,Breitenbrunn,7091,47.9445,16.7315
31,Burgenland,B,Gaas,7521,47.0824,16.463
32,Burgenland,B,Oberbildein,7521,47.1333,16.4667
33,Burgenland,B,Unterbildein,7521,47.1284,16.4679
34,Burgenland,B,Winten,7521,47.1171,16.4445
35,Burgenland,B,Eberau,7521,47.1076,16.4604
36,Burgenland,B,Kulm im Burgenland,7521,47.104,16.4524
37,Burgenland,B,Luising,7522,47.0139,16.4794
38,Burgenland,B,Kroatisch Ehrensdorf,7522,47.1175,16.4024
39,Burgenland,B,Heiligenbrunn,7522,47.027,16.4169
40,Burgenland,B,Strem,7522,47.045,16.4143
41,Burgenland,B,Deutsch Bieling,7522,47.0167,16.4333
42,Burgenland,B,Hagensdorf im Burgenland,7522,47.0145,16.4554
43,Burgenland,B,Deutsch Ehrensdorf,7522,47.0979,16.4142
44,Burgenland,B,Reinersdorf,7522,47.0104,16.3888
45,Burgenland,B,Sumetendorf,7522,47.0445,16.3935
46,Burgenland,B,Steinfurt,7522,47.0667,16.4167
47,Burgenland,B,Ollersdorf im Burgenland,7533,47.1833,16.1667
48,Burgenland,B,Rauchwart,7534,47.1333,16.2333
49,Burgenland,B,Olbendorf,7534,47.1833,16.2
50,Burgenland,B,Sankt Michael im Burgenland,7535,47.1333,16.2667
51,Burgenland,B,Gamischdorf,7535,47.1078,16.2591
52,Burgenland,B,Schallendorf im Burgenland,7535,47.1167,16.25
53,Burgenland,B,Rauchwart,7535,47.1333,16.2333
54,Burgenland,B,Güttenbach / Pinkovac,7536,47.1667,16.3
55,Burgenland,B,Neuberg im Burgenland / Nova Gora,7537,47.1591,16.2209
56,Burgenland,B,Rehgraben,7540,47.0833,16.2333
57,Burgenland,B,Großmürbisch,7540,47.0164,16.362
58,Burgenland,B,Moschendorf,7540,47.0584,16.4773
59,Burgenland,B,Kleinmürbisch,7540,47.033,16.3245
60,Burgenland,B,Sankt Nikolaus,7540,47.0462,16.3323
61,Burgenland,B,Glasing,7540,47.0433,16.3575
62,Burgenland,B,Krottendorf,7540,47.0595,16.3071
63,Burgenland,B,Neustift bei Güssing,7540,47.0167,16.2667
64,Burgenland,B,Sulz im Burgenland,7540,47.0748,16.2696
65,Burgenland,B,Güssing,7540,47.0594,16.3243
66,Burgenland,B,Inzenhof,7540,47.0167,16.3167
67,Burgenland,B,Urbersdorf,7540,47.0576,16.3729
68,Burgenland,B,Tschanigraben,7540,47.0677,16.2921
69,Burgenland,B,Steingraben,7542,47.0643,16.2743
70,Burgenland,B,Gerersdorf bei Güssing,7542,47.0667,16.25
71,Burgenland,B,Sulz im Burgenland,7542,47.0748,16.2696
72,Burgenland,B,Limbach,7543,47.0667,16.1667
73,Burgenland,B,Neusiedl,7543,47.1,16.1833
74,Burgenland,B,Eisenhüttl,7543,47.1,16.2
